innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,is_boundary,non_boundary_run,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Rajasthan Royals,15,5,RA Jadeja,Mohammed Siraj,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,15,6,RA Jadeja,Mohammed Siraj,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,16,1,V Suryavanshi,JO Holder,RA Jadeja,4,0,4,True,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,16,2,V Suryavanshi,JO Holder,RA Jadeja,0,0,0,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,16,3,V Suryavanshi,JO Holder,RA Jadeja,6,0,6,True,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,16,4,V Suryavanshi,JO Holder,RA Jadeja,4,0,4,True,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,16,5,V Suryavanshi,JO Holder,RA Jadeja,2,0,2,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,16,6,V Suryavanshi,JO Holder,RA Jadeja,0,0,0,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,17,1,RA Jadeja,Washington Sundar,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,17,2,V Suryavanshi,Washington Sundar,RA Jadeja,6,0,6,True,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,17,3,V Suryavanshi,Washington Sundar,RA Jadeja,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,17,4,RA Jadeja,Washington Sundar,V Suryavanshi,2,0,2,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,17,5,RA Jadeja,Washington Sundar,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,17,6,V Suryavanshi,Washington Sundar,RA Jadeja,6,0,6,True,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,18,1,RA Jadeja,K Rabada,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,18,2,V Suryavanshi,K Rabada,RA Jadeja,0,0,0,False,False,,0,0,0,0,0,True,caught,V Suryavanshi,M Prasidh Krishna,death
1,Rajasthan Royals,18,3,D Ferreira,K Rabada,RA Jadeja,2,0,2,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,18,4,D Ferreira,K Rabada,RA Jadeja,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,18,5,RA Jadeja,K Rabada,D Ferreira,0,0,0,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,18,6,RA Jadeja,K Rabada,D Ferreira,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,19,1,RA Jadeja,M Prasidh Krishna,D Ferreira,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,19,2,D Ferreira,M Prasidh Krishna,RA Jadeja,0,0,0,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,19,3,D Ferreira,M Prasidh Krishna,RA Jadeja,4,0,4,True,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,19,4,D Ferreira,M Prasidh Krishna,RA Jadeja,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,19,5,RA Jadeja,M Prasidh Krishna,D Ferreira,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,19,6,D Ferreira,M Prasidh Krishna,RA Jadeja,4,0,4,True,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,20,1,RA Jadeja,Rashid Khan,D Ferreira,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,20,2,D Ferreira,Rashid Khan,RA Jadeja,6,0,6,True,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,20,3,D Ferreira,Rashid Khan,RA Jadeja,6,0,6,True,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,20,4,D Ferreira,Rashid Khan,RA Jadeja,6,0,6,True,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,20,5,D Ferreira,Rashid Khan,RA Jadeja,2,0,2,False,False,,0,0,0,0,0,False,,,,death
1,Rajasthan Royals,20,6,D Ferreira,Rashid Khan,RA Jadeja,6,0,6,True,False,,0,0,0,0,0,False,,,,death
2,Gujarat Titans,1,1,B Sai Sudharsan,JC Archer,Shubman Gill,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
2,Gujarat Titans,1,2,B Sai Sudharsan,JC Archer,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
2,Gujarat Titans,1,3.wides,Shubman Gill,JC Archer,B Sai Sudharsan,0,1,1,False,False,wides,1,0,0,0,0,False,,,,powerplay
2,Gujarat Titans,1,3,Shubman Gill,JC Archer,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
2,Gujarat Titans,1,4,Shubman Gill,JC Archer,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
